date,store,item,sales
2021-01-01,1,1,42
2021-01-02,1,1,27
2021-01-03,1,1,38
2021-01-04,1,1,166
2021-01-05,1,1,42
2021-01-06,1,1,42
2021-01-07,1,1,30
2021-01-08,1,1,52
2021-01-09,1,1,28
2021-01-10,1,1,27
2021-01-11,1,1,44
2021-01-12,1,1,51
2021-01-13,1,1,49
2021-01-14,1,1,45
2021-01-15,1,1,45
2021-01-16,1,1,39
2021-01-17,1,1,28
2021-01-18,1,1,49
2021-01-19,1,1,49
2021-01-20,1,1,53
2021-01-21,1,1,67
2021-01-22,1,1,58
2021-01-23,1,1,37
2021-01-24,1,1,41
2021-01-25,1,1,46
2021-01-26,1,1,43
2021-01-27,1,1,45
2021-01-28,1,1,48
2021-01-29,1,1,57
2021-01-30,1,1,44
2021-01-31,1,1,37
2021-02-01,1,1,51
2021-02-02,1,1,46
2021-02-03,1,1,62
2021-02-04,1,1,63
2021-02-05,1,1,51
2021-02-06,1,1,34
2021-02-07,1,1,40
2021-02-08,1,1,66
2021-02-09,1,1,59
2021-02-10,1,1,55
2021-02-11,1,1,57
2021-02-12,1,1,50
2021-02-13,1,1,49
2021-02-14,1,1,40
2021-02-15,1,1,50
2021-02-16,1,1,58
2021-02-17,1,1,57
2021-02-18,1,1,63
2021-02-19,1,1,67
2021-02-20,1,1,53
2021-02-21,1,1,46
2021-02-22,1,1,59
2021-02-23,1,1,59
2021-02-24,1,1,46
2021-02-25,1,1,64
2021-02-26,1,1,64
2021-02-27,1,1,45
2021-02-28,1,1,41
2021-03-01,1,1,71
2021-03-02,1,1,63
2021-03-03,1,1,53
2021-03-04,1,1,64
2021-03-05,1,1,61
2021-03-06,1,1,51
2021-03-07,1,1,46
2021-03-08,1,1,66
2021-03-09,1,1,64
2021-03-10,1,1,60
2021-03-11,1,1,69
2021-03-12,1,1,73
2021-03-13,1,1,57
2021-03-14,1,1,46
2021-03-15,1,1,70
2021-03-16,1,1,75
2021-03-17,1,1,160
2021-03-18,1,1,59
2021-03-19,1,1,68
2021-03-20,1,1,45
2021-03-21,1,1,48
2021-03-22,1,1,71
2021-03-23,1,1,59
2021-03-24,1,1,57
2021-03-25,1,1,67
2021-03-26,1,1,68
2021-03-27,1,1,55
2021-03-28,1,1,54
2021-03-29,1,1,68
2021-03-30,1,1,62
2021-03-31,1,1,68
2021-04-01,1,1,68
2021-04-02,1,1,131
2021-04-03,1,1,57
2021-04-04,1,1,59
2021-04-05,1,1,62
2021-04-06,1,1,60
2021-04-07,1,1,69
2021-04-08,1,1,72
2021-04-09,1,1,59
2021-04-10,1,1,47
2021-04-11,1,1,56
2021-04-12,1,1,65
2021-04-13,1,1,83
2021-04-14,1,1,67
2021-04-15,1,1,61
2021-04-16,1,1,170
2021-04-17,1,1,50
2021-04-18,1,1,169
2021-04-19,1,1,64
2021-04-20,1,1,71
2021-04-21,1,1,61
2021-04-22,1,1,63
2021-04-23,1,1,70
2021-04-24,1,1,61
2021-04-25,1,1,57
2021-04-26,1,1,66
2021-04-27,1,1,60
2021-04-28,1,1,74
2021-04-29,1,1,68
2021-04-30,1,1,67
2021-05-01,1,1,58
2021-05-02,1,1,50
2021-05-03,1,1,67
2021-05-04,1,1,66
2021-05-05,1,1,66
2021-05-06,1,1,60
2021-05-07,1,1,54
2021-05-08,1,1,51
2021-05-09,1,1,44
2021-05-10,1,1,62
2021-05-11,1,1,67
2021-05-12,1,1,57
2021-05-13,1,1,78
2021-05-14,1,1,75
2021-05-15,1,1,48
2021-05-16,1,1,50
2021-05-17,1,1,61
2021-05-18,1,1,53
2021-05-19,1,1,182
2021-05-20,1,1,68
2021-05-21,1,1,60
2021-05-22,1,1,43
2021-05-23,1,1,39
2021-05-24,1,1,67
2021-05-25,1,1,74
2021-05-26,1,1,67
2021-05-27,1,1,69
2021-05-28,1,1,123
2021-05-29,1,1,44
2021-05-30,1,1,56
2021-05-31,1,1,53
2021-06-01,1,1,67
2021-06-02,1,1,77
2021-06-03,1,1,75
