date,sales
2021-01-01,42
2021-01-02,27
2021-01-03,38
2021-01-04,166
2021-01-05,42
2021-01-06,42
2021-01-07,30
2021-01-08,52
2021-01-09,28
2021-01-10,27
2021-01-11,44
2021-01-12,51
2021-01-13,49
2021-01-14,45
2021-01-15,45
2021-01-16,39
2021-01-17,28
2021-01-18,49
2021-01-19,49
2021-01-20,53
2021-01-21,67
2021-01-22,58
2021-01-23,37
2021-01-24,41
2021-01-25,46
2021-01-26,43
2021-01-27,45
2021-01-28,48
2021-01-29,57
2021-01-30,44
2021-01-31,37
2021-02-01,51
2021-02-02,46
2021-02-03,62
2021-02-04,63
2021-02-05,51
2021-02-06,34
2021-02-07,40
2021-02-08,66
2021-02-09,59
2021-02-10,55
2021-02-11,57
2021-02-12,50
2021-02-13,49
2021-02-14,40
2021-02-15,50
2021-02-16,58
2021-02-17,57
2021-02-18,63
2021-02-19,67
2021-02-20,53
2021-02-21,46
2021-02-22,59
2021-02-23,59
2021-02-24,46
2021-02-25,64
2021-02-26,64
2021-02-27,45
2021-02-28,41
2021-03-01,71
2021-03-02,63
2021-03-03,53
2021-03-04,64
2021-03-05,61
2021-03-06,51
2021-03-07,46
2021-03-08,66
2021-03-09,64
2021-03-10,60
2021-03-11,69
2021-03-12,73
2021-03-13,57
2021-03-14,46
2021-03-15,70
2021-03-16,75
2021-03-17,160
2021-03-18,59
2021-03-19,68
2021-03-20,45
2021-03-21,48
2021-03-22,71
2021-03-23,59
2021-03-24,57
2021-03-25,67
2021-03-26,68
2021-03-27,55
2021-03-28,54
2021-03-29,68
2021-03-30,62
2021-03-31,68
2021-04-01,68
2021-04-02,131
2021-04-03,57
2021-04-04,59
2021-04-05,62
2021-04-06,60
2021-04-07,69
2021-04-08,72
2021-04-09,59
2021-04-10,47
2021-04-11,56
2021-04-12,65
2021-04-13,83
2021-04-14,67
2021-04-15,61
2021-04-16,170
2021-04-17,50
2021-04-18,169
2021-04-19,64
2021-04-20,71
2021-04-21,61
2021-04-22,63
2021-04-23,70
2021-04-24,61
2021-04-25,57
2021-04-26,66
2021-04-27,60
2021-04-28,74
2021-04-29,68
2021-04-30,67
2021-05-01,58
2021-05-02,50
2021-05-03,67
2021-05-04,66
2021-05-05,66
2021-05-06,60
2021-05-07,54
2021-05-08,51
2021-05-09,44
2021-05-10,62
2021-05-11,67
2021-05-12,57
2021-05-13,78
2021-05-14,75
2021-05-15,48
2021-05-16,50
2021-05-17,61
2021-05-18,53
2021-05-19,182
2021-05-20,68
2021-05-21,60
2021-05-22,43
2021-05-23,39
2021-05-24,67
2021-05-25,74
2021-05-26,67
2021-05-27,69
2021-05-28,123
2021-05-29,44
2021-05-30,56
2021-05-31,53
2021-06-01,67
2021-06-02,77
2021-06-03,75
2021-06-04,67
2021-06-05,65
2021-06-06,50
2021-06-07,67
2021-06-08,55
2021-06-09,73
2021-06-10,70
2021-06-11,66
2021-06-12,46
2021-06-13,50
2021-06-14,61
2021-06-15,62
2021-06-16,66
2021-06-17,67
2021-06-18,67
2021-06-19,43
2021-06-20,37
2021-06-21,55
2021-06-22,72
2021-06-23,60
2021-06-24,62
2021-06-25,67
2021-06-26,44
2021-06-27,163
2021-06-28,63
2021-06-29,60
2021-06-30,55
2021-07-01,72
2021-07-02,66
2021-07-03,48
2021-07-04,43
2021-07-05,53
2021-07-06,64
2021-07-07,57
2021-07-08,60
2021-07-09,54
2021-07-10,43
2021-07-11,38
2021-07-12,54
2021-07-13,58
2021-07-14,48
2021-07-15,48
2021-07-16,51
2021-07-17,38
2021-07-18,44
2021-07-19,54
2021-07-20,55
2021-07-21,53
2021-07-22,56
2021-07-23,49
2021-07-24,37
2021-07-25,40
2021-07-26,54
2021-07-27,53
2021-07-28,53
2021-07-29,55
2021-07-30,65
2021-07-31,32
2021-08-01,41
2021-08-02,39
2021-08-03,31
2021-08-04,40
2021-08-05,45
2021-08-06,54
2021-08-07,21
2021-08-08,29
2021-08-09,34
2021-08-10,53
2021-08-11,48
2021-08-12,39
2021-08-13,31
2021-08-14,33
2021-08-15,24
2021-08-16,48
2021-08-17,40
2021-08-18,40
2021-08-19,37
2021-08-20,43
2021-08-21,25
2021-08-22,27
2021-08-23,30
2021-08-24,47
2021-08-25,48
2021-08-26,40
2021-08-27,51
2021-08-28,33
2021-08-29,27
2021-08-30,46
2021-08-31,44
2021-09-01,28
2021-09-02,36
2021-09-03,42
2021-09-04,32
2021-09-05,14
2021-09-06,28
2021-09-07,37
2021-09-08,25
2021-09-09,37
2021-09-10,39
2021-09-11,16
2021-09-12,21
2021-09-13,43
2021-09-14,34
2021-09-15,32
2021-09-16,36
2021-09-17,31
2021-09-18,33
2021-09-19,21
2021-09-20,33
2021-09-21,38
2021-09-22,36
2021-09-23,36
2021-09-24,34
2021-09-25,18
2021-09-26,12
2021-09-27,45
2021-09-28,40
2021-09-29,39
2021-09-30,36
2021-10-01,31
2021-10-02,17
2021-10-03,91
2021-10-04,33
2021-10-05,35
2021-10-06,44
2021-10-07,41
2021-10-08,52
2021-10-09,28
2021-10-10,20
2021-10-11,34
2021-10-12,27
2021-10-13,44
2021-10-14,36
2021-10-15,37
2021-10-16,20
2021-10-17,20
2021-10-18,24
2021-10-19,43
2021-10-20,41
2021-10-21,39
2021-10-22,35
2021-10-23,21
2021-10-24,36
2021-10-25,49
2021-10-26,37
2021-10-27,34
2021-10-28,38
2021-10-29,39
2021-10-30,18
2021-10-31,27
2021-11-01,40
2021-11-02,39
2021-11-03,38
2021-11-04,46
2021-11-05,38
2021-11-06,41
2021-11-07,28
2021-11-08,43
2021-11-09,46
2021-11-10,53
2021-11-11,40
2021-11-12,47
2021-11-13,32
2021-11-14,35
2021-11-15,43
2021-11-16,50
2021-11-17,41
2021-11-18,32
2021-11-19,36
2021-11-20,30
2021-11-21,36
2021-11-22,47
2021-11-23,48
2021-11-24,51
2021-11-25,51
2021-11-26,55
2021-11-27,30
2021-11-28,35
2021-11-29,58
2021-11-30,52
2021-12-01,73
2021-12-02,63
2021-12-03,72
2021-12-04,56
2021-12-05,41
2021-12-06,69
2021-12-07,68
2021-12-08,73
2021-12-09,69
2021-12-10,84
2021-12-11,164
2021-12-12,58
2021-12-13,65
2021-12-14,73
2021-12-15,80
2021-12-16,67
2021-12-17,65
2021-12-18,55
2021-12-19,56
2021-12-20,78
2021-12-21,71
2021-12-22,70
2021-12-23,157
2021-12-24,60
2021-12-25,66
2021-12-26,54
2021-12-27,68
2021-12-28,74
2021-12-29,80
2021-12-30,75
2021-12-31,70
2022-01-01,48
2022-01-02,41
2022-01-03,61
2022-01-04,58
2022-01-05,63
2022-01-06,62
2022-01-07,64
2022-01-08,63
2022-01-09,42
2022-01-10,72
2022-01-11,49
2022-01-12,58
2022-01-13,66
2022-01-14,65
2022-01-15,53
2022-01-16,48
2022-01-17,66
2022-01-18,67
2022-01-19,68
2022-01-20,68
2022-01-21,67
2022-01-22,51
2022-01-23,52
2022-01-24,71
2022-01-25,71
2022-01-26,66
2022-01-27,65
2022-01-28,137
2022-01-29,48
2022-01-30,52
2022-01-31,78
2022-02-01,63
2022-02-02,76
2022-02-03,60
2022-02-04,83
2022-02-05,54
2022-02-06,60
2022-02-07,74
2022-02-08,75
2022-02-09,162
2022-02-10,79
2022-02-11,67
2022-02-12,60
2022-02-13,174
2022-02-14,70
